"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsv1-miR-H3",3.12192205201014e-17,0.0614385206844106,4.7294609903736e-14,0.999999999999963,1,-11.2217852521486
"hsv1-miR-H4-3p",0,0,0,1,1,-11.2217852521486
"hsv1-miR-H7",0,0,0,1,1,-11.2217852521486
"hsv2-miR-H2",0,0,0,1,1,-11.2217852521486
"hsv2-miR-H3",0,0,0,1,1,-11.2217852521486
"hsv2-miR-H4-3p",0,0,0,1,1,-11.2217852521486
"hsv2-miR-H4-5p",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-10a+kshv-miR-K12-10b",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-11",2.3629849415917e-15,0.703339484250951,6.21709182281084e-16,1,1,-11.2217852521486
"kshv-miR-K12-2",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-3",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-4-3p",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-5",-1.96553556864837e-17,0.00477773982889734,-2.97762841039828e-14,0.999999999999977,1,-11.2217852521486
"kshv-miR-K12-7",0,0,0,1,1,-11.2217852521486
"kshv-miR-K12-8",0,0,0,1,1,-11.2217852521486
"mcv-miR-M1-3p",0,0,0,1,1,-11.2217852521486
